tier	category	id	path	url	recurse	default_count	notes
important	sync-backup	git-lfs	sources/sync-backup/git-lfs	https://github.com/git-lfs/git-lfs.git	no	yes	Git large-file pointer and content transfer semantics.
important	sync-backup	git-crypt	sources/sync-backup/git-crypt	https://github.com/AGWA/git-crypt.git	no	no	Transparent Git file encryption source.
adjacent	sync-backup	bup	sources/sync-backup/bup	https://github.com/bup/bup.git	no	no	Git-pack based backup source.
adjacent	compression	zstd	sources/compression/zstd	https://github.com/facebook/zstd.git	no	no	Compression engine used by filesystems and backup tools.
adjacent	compression	xz	sources/compression/xz	https://github.com/tukaani-project/xz.git	no	no	XZ/LZMA compression source.
adjacent	compression	lz4	sources/compression/lz4	https://github.com/lz4/lz4.git	no	no	LZ4 compression source.
adjacent	compression	zlib	sources/compression/zlib	https://github.com/madler/zlib.git	no	no	zlib compression source.
adjacent	test-tools	syzkaller	sources/test-tools/syzkaller	https://github.com/google/syzkaller.git	no	no	Kernel fuzzing source with filesystem bug-finding value.
adjacent	storage-engines	rocksdb	sources/storage-engines/rocksdb	https://github.com/facebook/rocksdb.git	no	no	LSM storage engine used for metadata and object-store comparisons.
adjacent	storage-engines	leveldb	sources/storage-engines/leveldb	https://github.com/google/leveldb.git	no	no	Minimal LSM design reference.
adjacent	storage-engines	pebble	sources/storage-engines/pebble	https://github.com/cockroachdb/pebble.git	no	no	Go LSM engine and manifest/WAL implementation.
adjacent	storage-engines	badger	sources/storage-engines/badger	https://github.com/dgraph-io/badger.git	no	no	LSM/value-log source.
adjacent	storage-engines	wiredtiger	sources/storage-engines/wiredtiger	https://github.com/wiredtiger/wiredtiger.git	no	no	B-tree/log/checkpoint storage engine.
adjacent	storage-engines	sqlite	sources/storage-engines/sqlite	https://github.com/sqlite/sqlite.git	no	no	Pager VFS WAL and btree source mirror.
adjacent	storage-engines	lmdb	sources/storage-engines/lmdb	https://github.com/LMDB/lmdb.git	no	no	Mmap B+tree storage engine source.
adjacent	storage-engines	foundationdb	sources/storage-engines/foundationdb	https://github.com/apple/foundationdb.git	no	no	Distributed storage engine and transaction log source.
adjacent	storage-engines	tikv	sources/storage-engines/tikv	https://github.com/tikv/tikv.git	no	no	Distributed Raft/LSM storage engine.
adjacent	storage-engines	raft-engine	sources/storage-engines/raft-engine	https://github.com/tikv/raft-engine.git	no	no	TiKV standalone raft log engine with file-pipe log storage.
important	os-vfs	xnu	sources/os/darwin/xnu	https://github.com/apple-oss-distributions/xnu.git	no	yes	Public Darwin/XNU VFS and filesystem source.
important	user-network-fs	macfuse	sources/user-network-fs/macfuse	https://github.com/macfuse/macfuse.git	no	yes	Public macOS FUSE implementation.
important	local-fs	ocfs2-tools	sources/local-fs/ocfs2-tools	https://github.com/markfasheh/ocfs2-tools.git	no	yes	OCFS2 cluster filesystem userspace tools.
important	local-fs	gfs2-utils	sources/local-fs/gfs2-utils	https://pagure.io/gfs2-utils.git	no	yes	GFS2 cluster filesystem userspace tools.
important	local-fs	dlm	sources/local-fs/dlm	https://pagure.io/dlm.git	no	no	Distributed lock manager userspace for cluster filesystems.
important	user-network-fs	libtirpc	sources/user-network-fs/libtirpc	git://linux-nfs.org/~steved/libtirpc	no	no	TIRPC dependency source for NFS userspace closure.
important	user-network-fs	rpcbind	sources/user-network-fs/rpcbind	git://linux-nfs.org/~steved/rpcbind	no	no	RPC bind service source for NFS userspace closure.
