folder_path	research_file	direct_file_count	recursive_file_count	direct_child_folder_count	status
sources/virtualization/nvme-cli/plugins/mangoboost	Docs/researches/sources/virtualization/nvme-cli/plugins/mangoboost/current_folder_research.md	2	2	0	ok
sources/virtualization/nvme-cli/plugins/memblaze	Docs/researches/sources/virtualization/nvme-cli/plugins/memblaze/current_folder_research.md	3	3	0	ok
sources/virtualization/nvme-cli/plugins/micron	Docs/researches/sources/virtualization/nvme-cli/plugins/micron/current_folder_research.md	2	2	0	ok
sources/virtualization/nvme-cli/plugins/nbft	Docs/researches/sources/virtualization/nvme-cli/plugins/nbft/current_folder_research.md	2	2	0	ok
sources/virtualization/nvme-cli/plugins/netapp	Docs/researches/sources/virtualization/nvme-cli/plugins/netapp/current_folder_research.md	2	2	0	ok
sources/virtualization/nvme-cli/plugins/nvidia	Docs/researches/sources/virtualization/nvme-cli/plugins/nvidia/current_folder_research.md	2	2	0	ok
sources/virtualization/nvme-cli/plugins/ocp	Docs/researches/sources/virtualization/nvme-cli/plugins/ocp/current_folder_research.md	21	21	0	ok
sources/virtualization/nvme-cli/plugins/sandisk	Docs/researches/sources/virtualization/nvme-cli/plugins/sandisk/current_folder_research.md	4	4	0	ok
sources/virtualization/nvme-cli/plugins/scaleflux	Docs/researches/sources/virtualization/nvme-cli/plugins/scaleflux/current_folder_research.md	3	3	0	ok
sources/virtualization/nvme-cli/plugins/seagate	Docs/researches/sources/virtualization/nvme-cli/plugins/seagate/current_folder_research.md	3	3	0	ok
sources/virtualization/nvme-cli/plugins/sed	Docs/researches/sources/virtualization/nvme-cli/plugins/sed/current_folder_research.md	6	6	0	ok
sources/virtualization/nvme-cli/plugins/shannon	Docs/researches/sources/virtualization/nvme-cli/plugins/shannon/current_folder_research.md	2	2	0	ok
sources/virtualization/nvme-cli/plugins/solidigm	Docs/researches/sources/virtualization/nvme-cli/plugins/solidigm/current_folder_research.md	29	51	1	ok
sources/virtualization/nvme-cli/plugins/ssstc	Docs/researches/sources/virtualization/nvme-cli/plugins/ssstc/current_folder_research.md	2	2	0	ok
sources/virtualization/nvme-cli/plugins/toshiba	Docs/researches/sources/virtualization/nvme-cli/plugins/toshiba/current_folder_research.md	2	2	0	ok
sources/virtualization/nvme-cli/plugins/transcend	Docs/researches/sources/virtualization/nvme-cli/plugins/transcend/current_folder_research.md	2	2	0	ok
sources/virtualization/nvme-cli/plugins/virtium	Docs/researches/sources/virtualization/nvme-cli/plugins/virtium/current_folder_research.md	2	2	0	ok
sources/virtualization/nvme-cli/plugins/wdc	Docs/researches/sources/virtualization/nvme-cli/plugins/wdc/current_folder_research.md	5	5	0	ok
sources/virtualization/nvme-cli/plugins/ymtc	Docs/researches/sources/virtualization/nvme-cli/plugins/ymtc/current_folder_research.md	3	3	0	ok
sources/virtualization/nvme-cli/plugins/zns	Docs/researches/sources/virtualization/nvme-cli/plugins/zns/current_folder_research.md	2	2	0	ok
sources/virtualization/open-iscsi/usr/fwparam_ibft	Docs/researches/sources/virtualization/open-iscsi/usr/fwparam_ibft/current_folder_research.md	13	13	0	ok
sources/virtualization/qemu/block/export	Docs/researches/sources/virtualization/qemu/block/export/current_folder_research.md	9	9	0	ok
sources/virtualization/qemu/block/monitor	Docs/researches/sources/virtualization/qemu/block/monitor/current_folder_research.md	3	3	0	ok
sources/virtualization/qemu/hw/virtio	Docs/researches/sources/virtualization/qemu/hw/virtio/current_folder_research.md	80	80	0	ok
sources/virtualization/qemu/tools/ebpf	Docs/researches/sources/virtualization/qemu/tools/ebpf/current_folder_research.md	1	1	0	ok
sources/virtualization/qemu/tools/i386	Docs/researches/sources/virtualization/qemu/tools/i386/current_folder_research.md	2	2	0	ok
sources/virtualization/qemu/tools/qemu-vnc	Docs/researches/sources/virtualization/qemu/tools/qemu-vnc/current_folder_research.md	14	14	0	ok
sources/virtualization/spdk/app/fio	Docs/researches/sources/virtualization/spdk/app/fio/current_folder_research.md	1	7	2	ok
sources/virtualization/spdk/app/iscsi_tgt	Docs/researches/sources/virtualization/spdk/app/iscsi_tgt/current_folder_research.md	2	2	0	ok
sources/virtualization/spdk/app/nvmf_tgt	Docs/researches/sources/virtualization/spdk/app/nvmf_tgt/current_folder_research.md	2	2	0	ok
sources/virtualization/spdk/app/spdk_dd	Docs/researches/sources/virtualization/spdk/app/spdk_dd/current_folder_research.md	2	2	0	ok
sources/virtualization/spdk/app/spdk_lspci	Docs/researches/sources/virtualization/spdk/app/spdk_lspci/current_folder_research.md	2	2	0	ok
sources/virtualization/spdk/app/spdk_nvme_discover	Docs/researches/sources/virtualization/spdk/app/spdk_nvme_discover/current_folder_research.md	2	2	0	ok
sources/virtualization/spdk/app/spdk_nvme_identify	Docs/researches/sources/virtualization/spdk/app/spdk_nvme_identify/current_folder_research.md	2	2	0	ok
sources/virtualization/spdk/app/spdk_nvme_perf	Docs/researches/sources/virtualization/spdk/app/spdk_nvme_perf/current_folder_research.md	2	2	0	ok
sources/virtualization/spdk/app/spdk_tgt	Docs/researches/sources/virtualization/spdk/app/spdk_tgt/current_folder_research.md	2	2	0	ok
sources/virtualization/spdk/app/spdk_top	Docs/researches/sources/virtualization/spdk/app/spdk_top/current_folder_research.md	2	2	0	ok
sources/virtualization/spdk/app/trace	Docs/researches/sources/virtualization/spdk/app/trace/current_folder_research.md	2	2	0	ok
sources/virtualization/spdk/app/trace_record	Docs/researches/sources/virtualization/spdk/app/trace_record/current_folder_research.md	2	2	0	ok
sources/virtualization/spdk/app/vhost	Docs/researches/sources/virtualization/spdk/app/vhost/current_folder_research.md	2	2	0	ok
sources/virtualization/spdk/lib/accel	Docs/researches/sources/virtualization/spdk/lib/accel/current_folder_research.md	5	5	0	ok
sources/virtualization/spdk/lib/ae4dma	Docs/researches/sources/virtualization/spdk/lib/ae4dma/current_folder_research.md	4	4	0	ok
sources/virtualization/spdk/lib/bdev	Docs/researches/sources/virtualization/spdk/lib/bdev/current_folder_research.md	8	8	0	ok
sources/virtualization/spdk/lib/blob	Docs/researches/sources/virtualization/spdk/lib/blob/current_folder_research.md	7	7	0	ok
sources/virtualization/spdk/lib/conf	Docs/researches/sources/virtualization/spdk/lib/conf/current_folder_research.md	2	2	0	ok
sources/virtualization/spdk/lib/dma	Docs/researches/sources/virtualization/spdk/lib/dma/current_folder_research.md	2	2	0	ok
sources/virtualization/spdk/lib/env_dpdk	Docs/researches/sources/virtualization/spdk/lib/env_dpdk/current_folder_research.md	19	28	2	ok
sources/virtualization/spdk/lib/env_ocf	Docs/researches/sources/virtualization/spdk/lib/env_ocf/current_folder_research.md	7	7	0	ok
sources/virtualization/spdk/lib/event	Docs/researches/sources/virtualization/spdk/lib/event/current_folder_research.md	7	7	0	ok
sources/virtualization/spdk/lib/fsdev	Docs/researches/sources/virtualization/spdk/lib/fsdev/current_folder_research.md	5	5	0	ok
sources/virtualization/spdk/lib/ftl	Docs/researches/sources/virtualization/spdk/lib/ftl/current_folder_research.md	36	89	5	ok
sources/virtualization/spdk/lib/fuse_dispatcher	Docs/researches/sources/virtualization/spdk/lib/fuse_dispatcher/current_folder_research.md	2	2	0	ok
sources/virtualization/spdk/lib/idxd	Docs/researches/sources/virtualization/spdk/lib/idxd/current_folder_research.md	5	5	0	ok
sources/virtualization/spdk/lib/init	Docs/researches/sources/virtualization/spdk/lib/init/current_folder_research.md	6	6	0	ok
sources/virtualization/spdk/lib/ioat	Docs/researches/sources/virtualization/spdk/lib/ioat/current_folder_research.md	3	3	0	ok
sources/virtualization/spdk/lib/iscsi	Docs/researches/sources/virtualization/spdk/lib/iscsi/current_folder_research.md	17	17	0	ok
sources/virtualization/spdk/lib/json	Docs/researches/sources/virtualization/spdk/lib/json/current_folder_research.md	4	4	0	ok
sources/virtualization/spdk/lib/jsonrpc	Docs/researches/sources/virtualization/spdk/lib/jsonrpc/current_folder_research.md	6	6	0	ok
sources/virtualization/spdk/lib/keyring	Docs/researches/sources/virtualization/spdk/lib/keyring/current_folder_research.md	4	4	0	ok
sources/virtualization/spdk/lib/log	Docs/researches/sources/virtualization/spdk/lib/log/current_folder_research.md	4	4	0	ok
sources/virtualization/spdk/lib/lvol	Docs/researches/sources/virtualization/spdk/lib/lvol/current_folder_research.md	2	2	0	ok
sources/virtualization/spdk/lib/mlx5	Docs/researches/sources/virtualization/spdk/lib/mlx5/current_folder_research.md	7	7	0	ok
sources/virtualization/spdk/lib/nbd	Docs/researches/sources/virtualization/spdk/lib/nbd/current_folder_research.md	4	4	0	ok
sources/virtualization/spdk/lib/notify	Docs/researches/sources/virtualization/spdk/lib/notify/current_folder_research.md	3	3	0	ok
sources/virtualization/spdk/lib/nvme	Docs/researches/sources/virtualization/spdk/lib/nvme/current_folder_research.md	32	32	0	ok
sources/virtualization/spdk/lib/nvmf	Docs/researches/sources/virtualization/spdk/lib/nvmf/current_folder_research.md	19	19	0	ok
sources/virtualization/spdk/lib/rdma_cm	Docs/researches/sources/virtualization/spdk/lib/rdma_cm/current_folder_research.md	3	3	0	ok
sources/virtualization/spdk/lib/rdma_provider	Docs/researches/sources/virtualization/spdk/lib/rdma_provider/current_folder_research.md	4	4	0	ok
sources/virtualization/spdk/lib/rdma_utils	Docs/researches/sources/virtualization/spdk/lib/rdma_utils/current_folder_research.md	2	2	0	ok
sources/virtualization/spdk/lib/rpc	Docs/researches/sources/virtualization/spdk/lib/rpc/current_folder_research.md	2	2	0	ok
sources/virtualization/spdk/lib/scsi	Docs/researches/sources/virtualization/spdk/lib/scsi/current_folder_research.md	10	10	0	ok
sources/virtualization/spdk/lib/sock	Docs/researches/sources/virtualization/spdk/lib/sock/current_folder_research.md	3	3	0	ok
sources/virtualization/spdk/lib/thread	Docs/researches/sources/virtualization/spdk/lib/thread/current_folder_research.md	4	4	0	ok
sources/virtualization/spdk/lib/trace	Docs/researches/sources/virtualization/spdk/lib/trace/current_folder_research.md	5	5	0	ok
sources/virtualization/spdk/lib/trace_parser	Docs/researches/sources/virtualization/spdk/lib/trace_parser/current_folder_research.md	2	2	0	ok
sources/virtualization/spdk/lib/ublk	Docs/researches/sources/virtualization/spdk/lib/ublk/current_folder_research.md	4	4	0	ok
sources/virtualization/spdk/lib/ut	Docs/researches/sources/virtualization/spdk/lib/ut/current_folder_research.md	2	2	0	ok
sources/virtualization/spdk/lib/ut_mock	Docs/researches/sources/virtualization/spdk/lib/ut_mock/current_folder_research.md	2	2	0	ok
sources/virtualization/spdk/lib/util	Docs/researches/sources/virtualization/spdk/lib/util/current_folder_research.md	28	28	0	ok
sources/virtualization/spdk/lib/vfio_user	Docs/researches/sources/virtualization/spdk/lib/vfio_user/current_folder_research.md	1	5	1	ok
sources/virtualization/spdk/lib/vfu_tgt	Docs/researches/sources/virtualization/spdk/lib/vfu_tgt/current_folder_research.md	4	4	0	ok
sources/virtualization/spdk/lib/vhost	Docs/researches/sources/virtualization/spdk/lib/vhost/current_folder_research.md	7	7	0	ok
sources/virtualization/spdk/lib/virtio	Docs/researches/sources/virtualization/spdk/lib/virtio/current_folder_research.md	5	5	0	ok
sources/virtualization/spdk/lib/vmd	Docs/researches/sources/virtualization/spdk/lib/vmd/current_folder_research.md	5	5	0	ok
sources/virtualization/spdk/module/accel	Docs/researches/sources/virtualization/spdk/module/accel/current_folder_research.md	1	40	9	ok
sources/virtualization/spdk/module/bdev	Docs/researches/sources/virtualization/spdk/module/bdev/current_folder_research.md	1	107	21	ok
sources/virtualization/spdk/module/blob	Docs/researches/sources/virtualization/spdk/module/blob/current_folder_research.md	1	3	1	ok
sources/virtualization/spdk/module/env_dpdk	Docs/researches/sources/virtualization/spdk/module/env_dpdk/current_folder_research.md	2	2	0	ok
sources/virtualization/spdk/module/event	Docs/researches/sources/virtualization/spdk/module/event/current_folder_research.md	1	39	1	ok
sources/virtualization/spdk/module/fsdev	Docs/researches/sources/virtualization/spdk/module/fsdev/current_folder_research.md	1	8	1	ok
sources/virtualization/spdk/module/keyring	Docs/researches/sources/virtualization/spdk/module/keyring/current_folder_research.md	1	8	2	ok
sources/virtualization/spdk/module/scheduler	Docs/researches/sources/virtualization/spdk/module/scheduler/current_folder_research.md	1	7	3	ok
sources/virtualization/spdk/module/sock	Docs/researches/sources/virtualization/spdk/module/sock/current_folder_research.md	1	5	2	ok
sources/virtualization/spdk/module/vfu_device	Docs/researches/sources/virtualization/spdk/module/vfu_device/current_folder_research.md	7	7	0	ok
sources/virtualization/virtiofsd/src/passthrough	Docs/researches/sources/virtualization/virtiofsd/src/passthrough/current_folder_research.md	10	19	2	ok
sources/virtualization/virtiofsd/src/soft_idmap	Docs/researches/sources/virtualization/virtiofsd/src/soft_idmap/current_folder_research.md	3	3	0	ok
sources/windows/dokany/dokan_fuse/include	Docs/researches/sources/windows/dokany/dokan_fuse/include/current_folder_research.md	8	9	1	ok
sources/windows/dokany/dokan_fuse/src	Docs/researches/sources/windows/dokany/dokan_fuse/src/current_folder_research.md	6	6	0	ok
sources/windows/dokany/sys/util	Docs/researches/sources/windows/dokany/sys/util/current_folder_research.md	11	11	0	ok
sources/windows/reactos/drivers/filesystems	Docs/researches/sources/windows/reactos/drivers/filesystems/current_folder_research.md	1	504	12	ok
sources/windows/reactos/ntoskrnl/io	Docs/researches/sources/windows/reactos/ntoskrnl/io/current_folder_research.md	2	45	2	ok
sources/windows/reactos/ntoskrnl/mm	Docs/researches/sources/windows/reactos/ntoskrnl/mm/current_folder_research.md	10	47	4	ok
sources/windows/reactos/sdk/lib	Docs/researches/sources/windows/reactos/sdk/lib/current_folder_research.md	0	57	1	ok
sources/windows/winbtrfs/src/mkbtrfs	Docs/researches/sources/windows/winbtrfs/src/mkbtrfs/current_folder_research.md	3	3	0	ok
sources/windows/winbtrfs/src/shellext	Docs/researches/sources/windows/winbtrfs/src/shellext/current_folder_research.md	27	27	0	ok
sources/windows/winbtrfs/src/tests	Docs/researches/sources/windows/winbtrfs/src/tests/current_folder_research.md	19	19	0	ok
sources/windows/winbtrfs/src/ubtrfs	Docs/researches/sources/windows/winbtrfs/src/ubtrfs/current_folder_research.md	3	3	0	ok
sources/windows/windows-driver-samples/filesys/cdfs	Docs/researches/sources/windows/windows-driver-samples/filesys/cdfs/current_folder_research.md	35	35	0	ok
sources/windows/windows-driver-samples/filesys/fastfat	Docs/researches/sources/windows/windows-driver-samples/filesys/fastfat/current_folder_research.md	40	40	0	ok
sources/windows/windows-driver-samples/filesys/miniFilter	Docs/researches/sources/windows/windows-driver-samples/filesys/miniFilter/current_folder_research.md	0	75	14	ok
sources/windows/winfsp/src/dll	Docs/researches/sources/windows/winfsp/src/dll/current_folder_research.md	20	34	3	ok
sources/windows/winfsp/src/sys	Docs/researches/sources/windows/winfsp/src/sys/current_folder_research.md	38	38	0	ok
sources/block-storage/cryptsetup/lib/crypto_backend/argon2	Docs/researches/sources/block-storage/cryptsetup/lib/crypto_backend/argon2/current_folder_research.md	12	17	1	ok
sources/block-storage/cryptsetup/lib/luks2/hw_opal	Docs/researches/sources/block-storage/cryptsetup/lib/luks2/hw_opal/current_folder_research.md	2	2	0	ok
sources/block-storage/linux-dm/drivers/md/bcache	Docs/researches/sources/block-storage/linux-dm/drivers/md/bcache/current_folder_research.md	33	33	0	ok
sources/block-storage/linux-dm/drivers/md/persistent-data	Docs/researches/sources/block-storage/linux-dm/drivers/md/persistent-data/current_folder_research.md	23	23	0	ok
sources/block-storage/parted/libparted/fs/amiga	Docs/researches/sources/block-storage/parted/libparted/fs/amiga/current_folder_research.md	9	9	0	ok
sources/block-storage/parted/libparted/fs/btrfs	Docs/researches/sources/block-storage/parted/libparted/fs/btrfs/current_folder_research.md	1	1	0	ok
sources/block-storage/parted/libparted/fs/ext2	Docs/researches/sources/block-storage/parted/libparted/fs/ext2/current_folder_research.md	3	3	0	ok
sources/block-storage/parted/libparted/fs/f2fs	Docs/researches/sources/block-storage/parted/libparted/fs/f2fs/current_folder_research.md	2	2	0	ok
sources/block-storage/parted/libparted/fs/fat	Docs/researches/sources/block-storage/parted/libparted/fs/fat/current_folder_research.md	5	5	0	ok
sources/block-storage/parted/libparted/fs/hfs	Docs/researches/sources/block-storage/parted/libparted/fs/hfs/current_folder_research.md	4	4	0	ok
sources/block-storage/parted/libparted/fs/jfs	Docs/researches/sources/block-storage/parted/libparted/fs/jfs/current_folder_research.md	3	3	0	ok
sources/block-storage/parted/libparted/fs/linux_swap	Docs/researches/sources/block-storage/parted/libparted/fs/linux_swap/current_folder_research.md	1	1	0	ok
sources/block-storage/parted/libparted/fs/nilfs2	Docs/researches/sources/block-storage/parted/libparted/fs/nilfs2/current_folder_research.md	1	1	0	ok
sources/block-storage/parted/libparted/fs/ntfs	Docs/researches/sources/block-storage/parted/libparted/fs/ntfs/current_folder_research.md	1	1	0	ok
sources/block-storage/parted/libparted/fs/r	Docs/researches/sources/block-storage/parted/libparted/fs/r/current_folder_research.md	1	40	2	ok
sources/block-storage/parted/libparted/fs/reiserfs	Docs/researches/sources/block-storage/parted/libparted/fs/reiserfs/current_folder_research.md	2	2	0	ok
sources/block-storage/parted/libparted/fs/udf	Docs/researches/sources/block-storage/parted/libparted/fs/udf/current_folder_research.md	1	1	0	ok
sources/block-storage/parted/libparted/fs/ufs	Docs/researches/sources/block-storage/parted/libparted/fs/ufs/current_folder_research.md	1	1	0	ok
sources/block-storage/parted/libparted/fs/xfs	Docs/researches/sources/block-storage/parted/libparted/fs/xfs/current_folder_research.md	4	4	0	ok
sources/block-storage/stratis-cli/src/stratis_cli/_actions	Docs/researches/sources/block-storage/stratis-cli/src/stratis_cli/_actions/current_folder_research.md	19	19	0	ok
sources/block-storage/stratis-cli/src/stratis_cli/_parser	Docs/researches/sources/block-storage/stratis-cli/src/stratis_cli/_parser/current_folder_research.md	9	9	0	ok
sources/block-storage/stratisd/src/bin/stratis-min	Docs/researches/sources/block-storage/stratisd/src/bin/stratis-min/current_folder_research.md	2	2	0	ok
sources/block-storage/stratisd/src/bin/tools	Docs/researches/sources/block-storage/stratisd/src/bin/tools/current_folder_research.md	5	5	0	ok
sources/block-storage/stratisd/src/bin/udev-lib	Docs/researches/sources/block-storage/stratisd/src/bin/udev-lib/current_folder_research.md	2	2	0	ok
sources/block-storage/stratisd/src/bin/utils	Docs/researches/sources/block-storage/stratisd/src/bin/utils/current_folder_research.md	4	8	1	ok
sources/block-storage/stratisd/src/dbus/blockdev	Docs/researches/sources/block-storage/stratisd/src/dbus/blockdev/current_folder_research.md	2	15	10	ok
sources/block-storage/stratisd/src/dbus/filesystem	Docs/researches/sources/block-storage/stratisd/src/dbus/filesystem/current_folder_research.md	2	16	10	ok
sources/block-storage/stratisd/src/dbus/manager	Docs/researches/sources/block-storage/stratisd/src/dbus/manager/current_folder_research.md	1	31	20	ok
sources/block-storage/stratisd/src/dbus/pool	Docs/researches/sources/block-storage/stratisd/src/dbus/pool/current_folder_research.md	2	23	10	ok
sources/block-storage/stratisd/src/engine/sim_engine	Docs/researches/sources/block-storage/stratisd/src/engine/sim_engine/current_folder_research.md	7	7	0	ok
sources/block-storage/stratisd/src/engine/strat_engine	Docs/researches/sources/block-storage/stratisd/src/engine/strat_engine/current_folder_research.md	13	60	7	ok
sources/block-storage/stratisd/src/engine/structures	Docs/researches/sources/block-storage/stratisd/src/engine/structures/current_folder_research.md	3	3	0	ok
sources/block-storage/stratisd/src/engine/types	Docs/researches/sources/block-storage/stratisd/src/engine/types/current_folder_research.md	4	4	0	ok
sources/block-storage/stratisd/src/jsonrpc/client	Docs/researches/sources/block-storage/stratisd/src/jsonrpc/client/current_folder_research.md	7	7	0	ok
sources/block-storage/stratisd/src/jsonrpc/server	Docs/researches/sources/block-storage/stratisd/src/jsonrpc/server/current_folder_research.md	7	7	0	ok
sources/block-storage/stratisd/src/stratis/ipc_support	Docs/researches/sources/block-storage/stratisd/src/stratis/ipc_support/current_folder_research.md	4	4	0	ok
sources/block-storage/thin-provisioning-tools/src/commands/utils	Docs/researches/sources/block-storage/thin-provisioning-tools/src/commands/utils/current_folder_research.md	1	1	0	ok
sources/block-storage/thin-provisioning-tools/src/copier/rescue_copier	Docs/researches/sources/block-storage/thin-provisioning-tools/src/copier/rescue_copier/current_folder_research.md	1	1	0	ok
sources/block-storage/thin-provisioning-tools/src/copier/sync_copier	Docs/researches/sources/block-storage/thin-provisioning-tools/src/copier/sync_copier/current_folder_research.md	1	1	0	ok
sources/block-storage/thin-provisioning-tools/src/io_engine/sync	Docs/researches/sources/block-storage/thin-provisioning-tools/src/io_engine/sync/current_folder_research.md	1	1	0	ok
sources/block-storage/thin-provisioning-tools/src/io_engine/utils	Docs/researches/sources/block-storage/thin-provisioning-tools/src/io_engine/utils/current_folder_research.md	1	1	0	ok
sources/block-storage/thin-provisioning-tools/src/pdata/array	Docs/researches/sources/block-storage/thin-provisioning-tools/src/pdata/array/current_folder_research.md	1	1	0	ok
sources/block-storage/thin-provisioning-tools/src/pdata/array_builder	Docs/researches/sources/block-storage/thin-provisioning-tools/src/pdata/array_builder/current_folder_research.md	2	2	0	ok
sources/block-storage/thin-provisioning-tools/src/pdata/array_walker	Docs/researches/sources/block-storage/thin-provisioning-tools/src/pdata/array_walker/current_folder_research.md	1	1	0	ok
sources/block-storage/thin-provisioning-tools/src/pdata/bitset	Docs/researches/sources/block-storage/thin-provisioning-tools/src/pdata/bitset/current_folder_research.md	1	1	0	ok
sources/block-storage/thin-provisioning-tools/src/pdata/btree	Docs/researches/sources/block-storage/thin-provisioning-tools/src/pdata/btree/current_folder_research.md	1	1	0	ok
sources/block-storage/thin-provisioning-tools/src/pdata/btree_builder	Docs/researches/sources/block-storage/thin-provisioning-tools/src/pdata/btree_builder/current_folder_research.md	2	2	0	ok
sources/block-storage/thin-provisioning-tools/src/pdata/btree_walker	Docs/researches/sources/block-storage/thin-provisioning-tools/src/pdata/btree_walker/current_folder_research.md	1	1	0	ok
sources/block-storage/thin-provisioning-tools/src/pdata/space_map	Docs/researches/sources/block-storage/thin-provisioning-tools/src/pdata/space_map/current_folder_research.md	11	11	0	ok
sources/block-storage/thin-provisioning-tools/src/thin/delta	Docs/researches/sources/block-storage/thin-provisioning-tools/src/thin/delta/current_folder_research.md	1	1	0	ok
sources/block-storage/thin-provisioning-tools/src/thin/metadata_repair	Docs/researches/sources/block-storage/thin-provisioning-tools/src/thin/metadata_repair/current_folder_research.md	1	1	0	ok
sources/block-storage/thin-provisioning-tools/src/thin/migrate	Docs/researches/sources/block-storage/thin-provisioning-tools/src/thin/migrate/current_folder_research.md	5	5	0	ok
sources/block-storage/util-linux/libblkid/src/partitions	Docs/researches/sources/block-storage/util-linux/libblkid/src/partitions/current_folder_research.md	16	16	0	ok
sources/block-storage/util-linux/libblkid/src/superblocks	Docs/researches/sources/block-storage/util-linux/libblkid/src/superblocks/current_folder_research.md	62	62	0	ok
sources/block-storage/util-linux/libblkid/src/topology	Docs/researches/sources/block-storage/util-linux/libblkid/src/topology/current_folder_research.md	8	8	0	ok
sources/block-storage/vdo/utils/vdo/man	Docs/researches/sources/block-storage/vdo/utils/vdo/man/current_folder_research.md	1	1	0	ok
sources/cow-pools/bcachefs-tools/arch/etc/initcpio	Docs/researches/sources/cow-pools/bcachefs-tools/arch/etc/initcpio/current_folder_research.md	0	2	2	ok
sources/cow-pools/bcachefs-tools/bch_bindgen/src/btree	Docs/researches/sources/cow-pools/bcachefs-tools/bch_bindgen/src/btree/current_folder_research.md	1	1	0	ok
sources/cow-pools/bcachefs-tools/bch_bindgen/src/data	Docs/researches/sources/cow-pools/bcachefs-tools/bch_bindgen/src/data/current_folder_research.md	4	4	0	ok
sources/cow-pools/bcachefs-tools/bch_bindgen/src/journal	Docs/researches/sources/cow-pools/bcachefs-tools/bch_bindgen/src/journal/current_folder_research.md	1	1	0	ok
sources/cow-pools/bcachefs-tools/bch_bindgen/src/sb	Docs/researches/sources/cow-pools/bcachefs-tools/bch_bindgen/src/sb/current_folder_research.md	2	2	0	ok
sources/cow-pools/bcachefs-tools/fs/data/ec	Docs/researches/sources/cow-pools/bcachefs-tools/fs/data/ec/current_folder_research.md	10	10	0	ok
sources/cow-pools/bcachefs-tools/fs/data/reconcile	Docs/researches/sources/cow-pools/bcachefs-tools/fs/data/reconcile/current_folder_research.md	8	8	0	ok
sources/cow-pools/bcachefs-tools/include/linux/sched	Docs/researches/sources/cow-pools/bcachefs-tools/include/linux/sched/current_folder_research.md	9	9	0	ok
sources/cow-pools/bcachefs-tools/include/linux/unaligned	Docs/researches/sources/cow-pools/bcachefs-tools/include/linux/unaligned/current_folder_research.md	6	6	0	ok
sources/cow-pools/bcachefs-tools/include/trace/events	Docs/researches/sources/cow-pools/bcachefs-tools/include/trace/events/current_folder_research.md	1	1	0	ok
sources/cow-pools/bcachefs-tools/include/uapi/linux	Docs/researches/sources/cow-pools/bcachefs-tools/include/uapi/linux/current_folder_research.md	2	2	0	ok
sources/cow-pools/bcachefs/fs/bcachefs/alloc	Docs/researches/sources/cow-pools/bcachefs/fs/bcachefs/alloc/current_folder_research.md	30	30	0	ok
sources/cow-pools/bcachefs/fs/bcachefs/btree	Docs/researches/sources/cow-pools/bcachefs/fs/bcachefs/btree/current_folder_research.md	48	48	0	ok
sources/cow-pools/bcachefs/fs/bcachefs/data	Docs/researches/sources/cow-pools/bcachefs/fs/bcachefs/data/current_folder_research.md	40	58	2	ok
sources/cow-pools/bcachefs/fs/bcachefs/debug	Docs/researches/sources/cow-pools/bcachefs/fs/bcachefs/debug/current_folder_research.md	11	11	0	ok
sources/cow-pools/bcachefs/fs/bcachefs/fs	Docs/researches/sources/cow-pools/bcachefs/fs/bcachefs/fs/current_folder_research.md	27	27	0	ok
sources/cow-pools/bcachefs/fs/bcachefs/init	Docs/researches/sources/cow-pools/bcachefs/fs/bcachefs/init/current_folder_research.md	18	18	0	ok
sources/cow-pools/bcachefs/fs/bcachefs/journal	Docs/researches/sources/cow-pools/bcachefs/fs/bcachefs/journal/current_folder_research.md	18	18	0	ok
sources/cow-pools/bcachefs/fs/bcachefs/sb	Docs/researches/sources/cow-pools/bcachefs/fs/bcachefs/sb/current_folder_research.md	20	20	0	ok
sources/cow-pools/bcachefs/fs/bcachefs/snapshots	Docs/researches/sources/cow-pools/bcachefs/fs/bcachefs/snapshots/current_folder_research.md	8	8	0	ok
sources/cow-pools/bcachefs/fs/bcachefs/util	Docs/researches/sources/cow-pools/bcachefs/fs/bcachefs/util/current_folder_research.md	37	37	0	ok
sources/cow-pools/bcachefs/fs/bcachefs/vfs	Docs/researches/sources/cow-pools/bcachefs/fs/bcachefs/vfs/current_folder_research.md	15	15	0	ok
sources/cow-pools/nilfs2-kmod10/include/trace/events	Docs/researches/sources/cow-pools/nilfs2-kmod10/include/trace/events/current_folder_research.md	1	1	0	ok
sources/cow-pools/nilfs2-kmod10/include/uapi/linux	Docs/researches/sources/cow-pools/nilfs2-kmod10/include/uapi/linux/current_folder_research.md	2	2	0	ok
sources/cow-pools/openzfs/cmd/zpool/os	Docs/researches/sources/cow-pools/openzfs/cmd/zpool/os/current_folder_research.md	0	2	2	ok
sources/cow-pools/openzfs/cmd/zpool/zpool.d	Docs/researches/sources/cow-pools/openzfs/cmd/zpool/zpool.d/current_folder_research.md	41	41	0	ok
sources/cow-pools/openzfs/lib/libzfs/os	Docs/researches/sources/cow-pools/openzfs/lib/libzfs/os/current_folder_research.md	0	9	2	ok
sources/cow-pools/openzfs/lib/libzpool/include	Docs/researches/sources/cow-pools/openzfs/lib/libzpool/include/current_folder_research.md	1	7	1	ok
sources/cow-pools/openzfs/module/os/freebsd	Docs/researches/sources/cow-pools/openzfs/module/os/freebsd/current_folder_research.md	0	45	2	ok
sources/cow-pools/openzfs/module/os/linux	Docs/researches/sources/cow-pools/openzfs/module/os/linux/current_folder_research.md	0	53	2	ok
